"duty_station","type","parent","street","city","state","zip","address","phone","url"
"South Bend International Airport, South Bend, Indiana – 3986","Port of Entry","Chicago","South Bend International Airport (main passenger terminal building)","SouthBend","IN","46628","South Bend International Airport (main passenger terminal building), SouthBend, IN 46628","574-232-9650","https://www.cbp.gov/about/contact/ports/south-bend-international-airport-south-bend-indiana-3986"
"Sheboygan County Memorial Airport, Wisconsin - 3782","Port of Entry","Chicago","Sheboygan County Memorial Airport","Sheboygan Falls","WI","53085","Sheboygan County Memorial Airport, Sheboygan Falls, WI 53085","920-335-2225","https://www.cbp.gov/about/contact/ports/sheboygan-county-memorial-airport-wisconsin-3782"
"Port of Manitowoc, Manitowoc, Wisconsin - 3706","Port of Entry","Chicago","2077 Airport Drive","Green Bay","WI","54313","2077 Airport Drive, Green Bay, WI 54313","920-496-0606","https://www.cbp.gov/about/contact/ports/port-manitowoc-manitowoc-wisconsin-3706"
"Port of Marinette, Marinette, Wisconsin - 3702","Port of Entry","Chicago","2077 Airport Drive","Green Bay","WI","54313","2077 Airport Drive, Green Bay, WI 54313","920-496-0606","https://www.cbp.gov/about/contact/ports/port-marinette-marinette-wisconsin-3702"
"Detroit","Field Office","","985 Michigan Ave.","Detroit","MI","48226","985 Michigan Ave., Detroit, MI 48226","313-442-4460","https://www.cbp.gov/about/contact/ports/field-office/detroit"
"Sault Sainte Marie, Michigan - 3803","Port of Entry","Detroit","900 International Bridge Plaza","Sault Sainte Marie","MI","49783","900 International Bridge Plaza, Sault Sainte Marie, MI 49783","","https://www.cbp.gov/about/contact/ports/sault-sainte-marie-michigan-3803"
"Detroit Metropolitan Airport, Michigan - 3807","Port of Entry","Detroit","Edward H. McNamara Terminal","Detroit","MI","48242","Edward H. McNamara Terminal, Detroit, MI 48242","734-941-6180","https://www.cbp.gov/about/contact/ports/detroit-metropolitan-airport-michigan-3807"
"Battle Creek, Michigan - 3805","Port of Entry","Detroit","4950 Dickman Road","Battle Creek","MI","49037","4950 Dickman Road, Battle Creek, MI 49037","","https://www.cbp.gov/about/contact/ports/battle-creek-michigan-3805"
"Capital Region International Airport Lansing, Michigan - 3883","Port of Entry","Detroit","4100 Capital City Blvd.","Lansing","MI","48906","4100 Capital City Blvd., Lansing, MI 48906","","https://www.cbp.gov/about/contact/ports/capital-region-international-airport-lansing-michigan-3883"
"Detroit, Michigan - 3801","Port of Entry","Detroit","2810 B West Fort Street","Detroit","MI","48216","2810 B West Fort Street, Detroit, MI 48216","313-964-7830","https://www.cbp.gov/about/contact/ports/detroit-michigan-3801"
"Port Huron, Michigan - 3802","Port of Entry","Detroit","1410 Elmwood Street","Port Huron","MI","48060","1410 Elmwood Street, Port Huron, MI 48060","810-989-8800","https://www.cbp.gov/about/contact/ports/port-huron-michigan-3802"
"Grand Rapids, Michigan - 3806","Port of Entry","Detroit","6450 Air Cargo Drive SE","Grand Rapids","MI","49512","6450 Air Cargo Drive SE, Grand Rapids, MI 49512","","https://www.cbp.gov/about/contact/ports/grand-rapids-michigan-3806"
"Saginaw/Bay City/Flint, Michigan - 3804","Port of Entry","Detroit","8500 Garfield Rd. Suite 103","Freeland","MI","48623","8500 Garfield Rd. Suite 103, Freeland, MI 48623","","https://www.cbp.gov/about/contact/ports/saginawbay-cityflint-michigan-3804"
"El Paso","Field Office","","6070 Gateway Boulevard East","El Paso","TX","79905","6070 Gateway Boulevard East, El Paso, TX 79905","915-730-7000","https://www.cbp.gov/about/contact/ports/field-office/el-paso"
"Albuquerque, New Mexico - 2407","Port of Entry","El Paso","2200 Sunport Blvd. SE","Albuquerque","NM","87106","2200 Sunport Blvd. SE, Albuquerque, NM 87106","505-242-6475","https://www.cbp.gov/about/contact/ports/albuquerque-new-mexico-2407"
"Santa Teresa, New Mexico - 2408","Port of Entry","El Paso","170 Pete Domenici Hwy","Santa Teresa","NM","88008","170 Pete Domenici Hwy, Santa Teresa, NM 88008","575-874-7030","https://www.cbp.gov/about/contact/ports/santa-teresa-new-mexico-2408"
"Columbus, New Mexico - 2406","Port of Entry","El Paso","3981 State Highway 11","Columbus","NM","88029","3981 State Highway 11, Columbus, NM 88029","575-531-2686","https://www.cbp.gov/about/contact/ports/columbus-new-mexico-2406"
"Presidio, Texas - 2403","Port of Entry","El Paso","99400 Hwy 67 South","Presidio","TX","79845","99400 Hwy 67 South, Presidio, TX 79845","432-229-1051","https://www.cbp.gov/about/contact/ports/presidio-texas-2403"
"Marcelino Serna, Tornillo, Texas - 2404","Port of Entry","El Paso","1400 Lower Island Rd. (FM 1109)","Tornillo","TX","79853","1400 Lower Island Rd. (FM 1109), Tornillo, TX 79853","915-765-2800","https://www.cbp.gov/about/contact/ports/tornillo-texas-2404"
"El Paso, Texas - 2402","Port of Entry","El Paso","Bridge of the Americas Port of Entry","El Paso","TX","79905","Bridge of the Americas Port of Entry, El Paso, TX 79905","915-730-7000","https://www.cbp.gov/about/contact/ports/el-paso-texas-2402"
"Ysleta, El Paso, Texas - 2401","Port of Entry","El Paso","797 S. Zaragosa Rd.","El Paso","TX","79907","797 S. Zaragosa Rd., El Paso, TX 79907","915-872-4763","https://www.cbp.gov/about/contact/ports/ysleta-el-paso-texas-2401"
"Houston","Field Office","","2323 S. Shepherd #1300","Houston","TX","77019","2323 S. Shepherd #1300, Houston, TX 77019","713-387-7200","https://www.cbp.gov/about/contact/ports/field-office/houston"
"Oklahoma City, Oklahoma - 5504","Port of Entry","Houston","4300 Highline Blvd. Suite 250","Oklahoma City","OK","73108","4300 Highline Blvd. Suite 250, Oklahoma City, OK 73108","","https://www.cbp.gov/about/contact/ports/oklahoma-city-oklahoma-5504"
"Tulsa, Oklahoma - 5505","Port of Entry","Houston","2222 North Cargo Road","Tulsa","OK","74115","2222 North Cargo Road, Tulsa, OK 74115","","https://www.cbp.gov/about/contact/ports/tulsa-oklahoma-5505"
"Alliance Airport, Texas - 5583","Port of Entry","Houston","2221 Alliance Blvd.","Fort Worth","TX","76177","2221 Alliance Blvd., Fort Worth, TX 76177","","https://www.cbp.gov/about/contact/ports/alliance-airport-texas-5583"
"Midland, Texas - 5582","Port of Entry","Houston","9506 LaForce, 3rd Floor","Midland","TX","79711","9506 LaForce, 3rd Floor, Midland, TX 79711","","https://www.cbp.gov/about/contact/ports/midland-texas-5582"
"Freeport, Texas - 5311","Port of Entry","Houston","801 Navigation","Freeport","TX","77541","801 Navigation, Freeport, TX 77541","","https://www.cbp.gov/about/contact/ports/freeport-texas-5311"
"Lubbock, Texas - 5503","Port of Entry","Houston","Eastport, Lubbock International Airport","Lubbock","TX","79403","Eastport, Lubbock International Airport, Lubbock, TX 79403","","https://www.cbp.gov/about/contact/ports/lubbock-texas-5503"
"Dallas/Ft. Worth, Texas - 5501","Port of Entry","Houston","7501 Esters Blvd.,Suite 160","Irving","TX","75063","7501 Esters Blvd.,Suite 160, Irving, TX 75063","972-870-7460","https://www.cbp.gov/about/contact/ports/dallasft-worth-texas-5501"
"Port Arthur-Beaumont, Texas - 2101","Port of Entry","Houston","4550 Jimmy Johnson Blvd Suite 1","Port Arthur","TX","77642","4550 Jimmy Johnson Blvd Suite 1, Port Arthur, TX 77642","","https://www.cbp.gov/about/contact/ports/port-arthur-beaumont-texas-2101"
"Houston Seaport, Texas - 5301","Port of Entry","Houston","7141 Office City Drive","Houston","TX","77087","7141 Office City Drive, Houston, TX 77087","713-454-8002","https://www.cbp.gov/about/contact/ports/houston-seaport-texas-5301"
"Port Lavaca-Point Comfort, Texas - 5313","Port of Entry","Houston","9149 State Highway 44","Corpus Christi","TX","78406","9149 State Highway 44, Corpus Christi, TX 78406","","https://www.cbp.gov/about/contact/ports/port-lavaca-point-comfort-texas-5313"
"McKinney, Texas - 5585","Port of Entry","Houston","1500 E. Industrial Blvd","Mckinney","TX","75069","1500 E. Industrial Blvd, Mckinney, TX 75069","","https://www.cbp.gov/about/contact/ports/mckinney-texas-5585"
"Austin, Texas - 5506","Port of Entry","Houston","3600 Presidential Blvd. Ste. 111","Austin","TX","78719","3600 Presidential Blvd. Ste. 111, Austin, TX 78719","512-530-3053","https://www.cbp.gov/about/contact/ports/austin-texas-5506"
"Amarillo, Texas - 5502","Port of Entry","Houston","10801 Airport Blvd","Amarillo","TX","79111","10801 Airport Blvd, Amarillo, TX 79111","","https://www.cbp.gov/about/contact/ports/amarillo-texas-5502"
"Corpus Christi, Texas - 5312","Port of Entry","Houston","9149 State Highway 44","Corpus Christi","TX","78406","9149 State Highway 44, Corpus Christi, TX 78406","361-879-4400","https://www.cbp.gov/about/contact/ports/corpus-christi-texas-5312"
"Addison Airport, Texas - 5584","Port of Entry","Houston","4545 Jimmy Doolittle Dr.","Addison","TX","75001","4545 Jimmy Doolittle Dr., Addison, TX 75001","469-737-6913","https://www.cbp.gov/about/contact/ports/addison-airport-texas-5584"
"San Antonio, Texas - 5507","Port of Entry","Houston","9800 Airport Blvd","San Antonio","TX","78216","9800 Airport Blvd, San Antonio, TX 78216","","https://www.cbp.gov/about/contact/ports/san-antonio-texas-5507"
"Sugar Land, Texas - 5381","Port of Entry","Houston","12888 Highway 6 South","Sugar Land","TX","77478","12888 Highway 6 South, Sugar Land, TX 77478","281-277-1453","https://www.cbp.gov/about/contact/ports/sugar-land-texas-5381"
"Houston Airport, Texas - 5309","Port of Entry","Houston","2350 N. Sam Houston Pkwy E. #900","Houston","TX","77032","2350 N. Sam Houston Pkwy E. #900, Houston, TX 77032","281-985-6700","https://www.cbp.gov/about/contact/ports/houston-airport-texas-5309"
"Sabine, Texas - 2102","Port of Entry","Houston","4550 Jimmy Johnson Blvd","Pt Arthur","TX","77642","4550 Jimmy Johnson Blvd, Pt Arthur, TX 77642","","https://www.cbp.gov/about/contact/ports/sabine-texas-2102"
"Conroe, Texas - 5382","Port of Entry","Houston","2975 Hawthorne Drive","Conroe","TX","77303","2975 Hawthorne Drive, Conroe, TX 77303","936-441-7750","https://www.cbp.gov/about/contact/ports/conroe-texas-5382"
"Laredo","Field Office","","109 Shiloh Dr., Suite 300","Laredo","TX","78045","109 Shiloh Dr., Suite 300, Laredo, TX 78045","956-753-1768","https://www.cbp.gov/about/contact/ports/field-office/laredo"
"Laredo, Texas - 2304","Port of Entry","Laredo","Lincoln/Juarez Bridge, Administrative Bldg. #2","Laredo","TX","78040","Lincoln/Juarez Bridge, Administrative Bldg. #2, Laredo, TX 78040","956-523-7300","https://www.cbp.gov/about/contact/ports/laredo-texas-2304"
"Roma, Texas - 2310","Port of Entry","Laredo","405 N. Estrella St., Suite B","Roma","TX","78584","405 N. Estrella St., Suite B, Roma, TX 78584","","https://www.cbp.gov/about/contact/ports/roma-texas-2310"
"Del Rio, Texas - 2302","Port of Entry","Laredo","3140 Spur 239","Del Rio","TX","78840","3140 Spur 239, Del Rio, TX 78840","830-703-2012","https://www.cbp.gov/about/contact/ports/del-rio-texas-2302"
"Brownsville, Texas - 2301","Port of Entry","Laredo","3300 S. Expressway 77/83","Brownsville","TX","78521","3300 S. Expressway 77/83, Brownsville, TX 78521","956-983-5800","https://www.cbp.gov/about/contact/ports/brownsville-texas-2301"
"Eagle Pass, Texas - 2303","Port of Entry","Laredo","160 Garrison St.","Eagle Pass","TX","78852","160 Garrison St., Eagle Pass, TX 78852","830-752-3100","https://www.cbp.gov/about/contact/ports/eagle-pass-texas-2303"
"Hidalgo, Texas - 2305","Port of Entry","Laredo","9901 S. Cage Boulevard","Pharr","TX","78577","9901 S. Cage Boulevard, Pharr, TX 78577","956-283-2001","https://www.cbp.gov/about/contact/ports/hidalgo-texas-2305"
"Rio Grande City, Texas - 2307","Port of Entry","Laredo","317 S. Pete Diaz Ave.","Rio Grande City","TX","78582","317 S. Pete Diaz Ave., Rio Grande City, TX 78582","","https://www.cbp.gov/about/contact/ports/rio-grande-city-texas-2307"
"Progreso, Texas - 2309","Port of Entry","Laredo","100 South International Boulevard","Progreso","TX","78579","100 South International Boulevard, Progreso, TX 78579","956-982-6400","https://www.cbp.gov/about/contact/ports/progreso-texas-2309"
"South Texas International Airport at Edinburg - 2381","Port of Entry","Laredo","1300 E. Farm to Market Rd 490","Edinburg","TX","78542","1300 E. Farm to Market Rd 490, Edinburg, TX 78542","","https://www.cbp.gov/about/contact/ports/south-texas-international-airport-edinburg-2381"
"Harlingen Airport (Valley International Airport) – 2383","Port of Entry","Laredo","3002 Heritage Way","Harlingen","TX","78550","3002 Heritage Way, Harlingen, TX 78550","956-430-8622","https://www.cbp.gov/about/contact/ports/harlingen-airport-valley-international-airport-2383"
"Los Angeles","Field Office","","1 World Trade Center","Long Beach","CA","90831","1 World Trade Center, Long Beach, CA 90831","562-980-3100","https://www.cbp.gov/about/contact/ports/field-office/los-angeles"
"Las Vegas, Nevada - 2722","Port of Entry","Los Angeles","5757 Wayne Newton Blvd.","Las Vegas","NV","89119","5757 Wayne Newton Blvd., Las Vegas, NV 89119","","https://www.cbp.gov/about/contact/ports/las-vegas-nevada-2722"
"Palm Springs, California - 2781","Port of Entry","Los Angeles","210 N. El Cielo Road","Palm Springs","CA","92262","210 N. El Cielo Road, Palm Springs, CA 92262","","https://www.cbp.gov/about/contact/ports/palm-springs-california-2781"
"Ontario Airport, California - 2721","Port of Entry","Los Angeles","2222 E. Airport Drive","Ontario","CA","91761","2222 E. Airport Drive, Ontario, CA 91761","","https://www.cbp.gov/about/contact/ports/ontario-airport-california-2721"
"Los Angeles International Airport-Cargo Operations, California - 2720","Port of Entry","Los Angeles","11099 South La Cienega Blvd.","Los Angeles","CA","90045","11099 South La Cienega Blvd., Los Angeles, CA 90045","","https://www.cbp.gov/about/contact/ports/los-angeles-international-airport-cargo-operations-california-2720"
"Port Hueneme, California - 2713","Port of Entry","Los Angeles","720 W. Hueneme Road","Oxnard","CA","93033","720 W. Hueneme Road, Oxnard, CA 93033","","https://www.cbp.gov/about/contact/ports/port-hueneme-california-2713"
"Victorville - S. California Logistics Airport, California - 2783","Port of Entry","Los Angeles","18374 Readiness Street","Victorville","CA","92394","18374 Readiness Street, Victorville, CA 92394","","https://www.cbp.gov/about/contact/ports/victorville-s-california-logistics-airport-california-2783"
"Los Angeles/Long Beach Seaport, California - 2704","Port of Entry","Los Angeles","301 E. Ocean Blvd.","Long Beach","CA","90802","301 E. Ocean Blvd., Long Beach, CA 90802","","https://www.cbp.gov/about/contact/ports/los-angeleslong-beach-seaport-california-2704"
"San Bernardino International Airport, California - 2782","Port of Entry","Los Angeles","265 N. Leland Norton Way","San Bernardino","CA","92408","265 N. Leland Norton Way, San Bernardino, CA 92408","909-382-7291","https://www.cbp.gov/about/contact/ports/san-bernardino-international-airport-california-2782"
"Miami","Field Office","","909 S.E. 1st Avenue","Miami","FL","33131","909 S.E. 1st Avenue, Miami, FL 33131","305-810-5120","https://www.cbp.gov/about/contact/ports/field-office/miami"
"Miami International Airport, Florida - 5206","Port of Entry","Miami","4200 NW 21st Street","Miami","FL","33122","4200 NW 21st Street, Miami, FL 33122","786-476-3100","https://www.cbp.gov/about/contact/ports/miami-international-airport-florida-5206"
"Key West, Florida - 5202","Port of Entry","Miami","301 Simonton Street","Key West","FL","33040","301 Simonton Street, Key West, FL 33040","305-296-5411","https://www.cbp.gov/about/contact/ports/key-west-florida-5202"
"Miami Seaport, Florida - 5201","Port of Entry","Miami","1435 North Cruise Blvd","Miami","FL","33132","1435 North Cruise Blvd, Miami, FL 33132","305-536-4758","https://www.cbp.gov/about/contact/ports/miami-seaport-florida-5201"
"Port Everglades/Fort Lauderdale, Florida - 5203","Port of Entry","Miami","1800 Eller Drive","Fort Lauderdale","FL","33316","1800 Eller Drive, Fort Lauderdale, FL 33316","954-761-2000","https://www.cbp.gov/about/contact/ports/port-evergladesfort-lauderdale-florida-5203"
"West Palm Beach, Florida - 5204","Port of Entry","Miami","1 East 11th Street","Riviera Beach","FL","33404","1 East 11th Street, Riviera Beach, FL 33404","561-844-1703","https://www.cbp.gov/about/contact/ports/west-palm-beach-florida-5204"
"New Orleans","Field Office","","423 Canal Street","New Orleans","LA","70130","423 Canal Street, New Orleans, LA 70130","504-670-2404","https://www.cbp.gov/about/contact/ports/field-office/new-orleans"
"Huntsville, Alabama - 1910","Port of Entry","New Orleans","2850 Wall-Triana Highway","Huntsville","AL","35824","2850 Wall-Triana Highway, Huntsville, AL 35824","","https://www.cbp.gov/about/contact/ports/huntsville-alabama-1910"
"Birmingham, Alabama - 1904","Port of Entry","New Orleans","Concourse A/FIS","Birmingham","AL","35212","Concourse A/FIS, Birmingham, AL 35212","","https://www.cbp.gov/about/contact/ports/birmingham-alabama-1904"
"Mobile (Including Theodore), Alabama - 1901","Port of Entry","New Orleans","150 N. Royal Street","Mobile","AL","36602","150 N. Royal Street, Mobile, AL 36602","251-378-7600","https://www.cbp.gov/about/contact/ports/mobile-including-theodore-alabama-1901"
"Knoxville, Tennessee - 2016","Port of Entry","New Orleans","Duncan Federal Building, Room 435","Knoxville","TN","37902","Duncan Federal Building, Room 435, Knoxville, TN 37902","","https://www.cbp.gov/about/contact/ports/knoxville-tennessee-2016"
"Nashville, Tennessee - 2007","Port of Entry","New Orleans","#1 Terminal Lane","Nashville","TN","37214","#1 Terminal Lane, Nashville, TN 37214","615-275-4070","https://www.cbp.gov/about/contact/ports/nashville-tennessee-2007"
"Tri-Cities, Tennessee - 2027","Port of Entry","New Orleans","Port of Tri-Cities, TN/VA","Blountville","TN","37617","Port of Tri-Cities, TN/VA, Blountville, TN 37617","","https://www.cbp.gov/about/contact/ports/tri-cities-tennessee-2027"
"Memphis, Tennessee - 2006","Port of Entry","New Orleans","2813 Business Park Drive","Memphis","TN","38118","2813 Business Park Drive, Memphis, TN 38118","901-480-4000","https://www.cbp.gov/about/contact/ports/memphis-tennessee-2006"
"Chattanooga, Tennessee - 2008","Port of Entry","New Orleans","5959 Shallowford Road","Chattanooga","TN","37421","5959 Shallowford Road, Chattanooga, TN 37421","423-327-4597","https://www.cbp.gov/about/contact/ports/chattanooga-tennessee-2008"
"Baton Rouge, Louisiana - 2004","Port of Entry","New Orleans","5353 Essen Lane","Baton Rouge","LA","70809","5353 Essen Lane, Baton Rouge, LA 70809","504-670-2450","https://www.cbp.gov/about/contact/ports/baton-rouge-louisiana-2004"
"Shreveport-Bossier City, Louisiana - 2018","Port of Entry","New Orleans","5645 West Perimeter Road","Shreveport","LA","71109","5645 West Perimeter Road, Shreveport, LA 71109","318-635-7873","https://www.cbp.gov/about/contact/ports/shreveport-bossier-city-louisiana-2018"
"Morgan City, Louisiana - 2001","Port of Entry","New Orleans","1116 Bayou Lacarpe Road","Houma","LA","70363","1116 Bayou Lacarpe Road, Houma, LA 70363","504-670-2415","https://www.cbp.gov/about/contact/ports/morgan-city-louisiana-2001"
"Lake Charles, Louisiana - 2017","Port of Entry","New Orleans","152 Marine Street","Lake Charles","LA","70601","152 Marine Street, Lake Charles, LA 70601","337-721-3400","https://www.cbp.gov/about/contact/ports/lake-charles-louisiana-2017"
"New Orleans, Louisiana - 2002","Port of Entry","New Orleans","423 Canal Street","New Orleans","LA","70130","423 Canal Street, New Orleans, LA 70130","504-670-2391","https://www.cbp.gov/about/contact/ports/new-orleans-louisiana-2002"
"Gramercy, Louisiana - 2010","Port of Entry","New Orleans","110 North Airline Avenue","Gramercy","LA","70052","110 North Airline Avenue, Gramercy, LA 70052","504-670-2264","https://www.cbp.gov/about/contact/ports/gramercy-louisiana-2010"
"Little Rock-North Little Rock, Arkansas - 2003","Port of Entry","New Orleans","1000 Temple Street","Little Rock","AR","72202","1000 Temple Street, Little Rock, AR 72202","501-324-4898","https://www.cbp.gov/about/contact/ports/little-rock-north-little-rock-arkansas-2003"
"Rogers Airport, Arkansas - 2084","Port of Entry","New Orleans","#5 Hammerschmidt Drive","Rogers","AR","72756","#5 Hammerschmidt Drive, Rogers, AR 72756","","https://www.cbp.gov/about/contact/ports/rogers-airport-arkansas-2084"
"Port of Jackson - 2015","Port of Entry","New Orleans","710 Airport Service Rd, Bay 15","Flowood","MS","39232","710 Airport Service Rd, Bay 15, Flowood, MS 39232","601-932-3324","https://www.cbp.gov/about/contact/ports/vicksburg-mississippi-2015"
"Gulfport, Mississippi - 1902","Port of Entry","New Orleans","14108 Customs Boulevard","Gulfport","MS","39503","14108 Customs Boulevard, Gulfport, MS 39503","228-863-6350","https://www.cbp.gov/about/contact/ports/gulfport-mississippi-1902"
"Pascagoula, Mississippi - 1903","Port of Entry","New Orleans","U S S Wisconsin Loop","Pascagoula","MS","39595","U S S Wisconsin Loop, Pascagoula, MS 39595","228-761-0041","https://www.cbp.gov/about/contact/ports/pascagoula-mississippi-1903"
"New York","Field Office","","One World Trade Center","New York","NY","10007","One World Trade Center, New York, NY 10007","646-733-3100","https://www.cbp.gov/about/contact/ports/field-office/new-york"
"Perth Amboy, New Jersey - 4602","Port of Entry","New York","205 Jefferson Street","Perth Amboy","NJ","08861","205 Jefferson Street, Perth Amboy, NJ 08861","","https://www.cbp.gov/about/contact/ports/perth-amboy-new-jersey-4602"
"New York/Newark, New Jersey - 4601","Port of Entry","New York","1210 Corbin Street","Elizabeth","NJ","07201","1210 Corbin Street, Elizabeth, NJ 07201","201-443-0250","https://www.cbp.gov/about/contact/ports/new-yorknewark-new-jersey-4601"
"Morristown Airport, New Jersey - 4681","Port of Entry","New York","15 Airport Road","Morristown","NJ","07960","15 Airport Road, Morristown, NJ 07960","","https://www.cbp.gov/about/contact/ports/morristown-airport-new-jersey-4681"
"John F. Kennedy International Airport, New York - 4701","Port of Entry","New York","John F. Kennedy International Airport","Jamaica","NY","11430","John F. Kennedy International Airport, Jamaica, NY 11430","718-487-5164","https://www.cbp.gov/about/contact/ports/john-f-kennedy-international-airport-new-york-4701"
"Portland","Field Office","","33 New Montgomery","San Francisco","CA","94105","33 New Montgomery, San Francisco, CA 94105","415-744-1530","https://www.cbp.gov/about/contact/ports/field-office/portland"
"Anchorage, Alaska - 3126","Port of Entry","Portland","605 W. 4th Ave.","Anchorage","AK","99501","605 W. 4th Ave., Anchorage, AK 99501","907-271-2675","https://www.cbp.gov/about/contact/ports/anchorage-alaska-3126"
"Valdez, Alaska - 3107","Port of Entry","Portland","c/o 605 West 4th Avenue, Suite 230","Anchorage","AK","99501","c/o 605 West 4th Avenue, Suite 230, Anchorage, AK 99501","907-271-6313","https://www.cbp.gov/about/contact/ports/valdez-alaska-3107"
"Kodiak, Alaska - 3127","Port of Entry","Portland","c/o 605 W. 4th Ave.","Anchorage","AK","99501","c/o 605 W. 4th Ave., Anchorage, AK 99501","907-271-6313","https://www.cbp.gov/about/contact/ports/kodiak-alaska-3127"
"Ketchikan, Alaska - 3102","Port of Entry","Portland","648 Mission St.","Ketchikan","AK","99901","648 Mission St., Ketchikan, AK 99901","907-225-2254","https://www.cbp.gov/about/contact/ports/ketchikan-alaska-3102"
"Alcan, Alaska - 3104","Port of Entry","Portland","Milepost 1221.8 Alaska Hwy","Alcan","AK","99780","Milepost 1221.8 Alaska Hwy, Alcan, AK 99780","907-774-2252","https://www.cbp.gov/about/contact/ports/alcan-alaska-3104"
"Dalton Cache, Alaska - 3106","Port of Entry","Portland","Milepost 40, Haines Hwy.","Dalton Cache","AK","99827","Milepost 40, Haines Hwy., Dalton Cache, AK 99827","907-767-5511","https://www.cbp.gov/about/contact/ports/dalton-cache-alaska-3106"
"Skagway, Alaska - 3103","Port of Entry","Portland","Milepost 6.8, Klondike Hwy.","Skagway","AK","99840","Milepost 6.8, Klondike Hwy., Skagway, AK 99840","","https://www.cbp.gov/about/contact/ports/skagway-alaska-3103"
"Nome, Alaska - 3128","Port of Entry","Portland","113 W. Front Street","Nome","AK","99762","113 W. Front Street, Nome, AK 99762","907-443-2143","https://www.cbp.gov/about/contact/ports/nome-alaska-3128"
"Sitka, Alaska - 3115","Port of Entry","Portland","329 Harbor Dr.","Sitka","AK","99835","329 Harbor Dr., Sitka, AK 99835","907-747-3374","https://www.cbp.gov/about/contact/ports/sitka-alaska-3115"
"Wrangell, Alaska - 3105","Port of Entry","Portland","431 Zimovia Highway","Wrangell","AK","99929","431 Zimovia Highway, Wrangell, AK 99929","907-874-3415","https://www.cbp.gov/about/contact/ports/wrangell-alaska-3105"
"Juneau, Alaska - 3101","Port of Entry","Portland","510 S. Franklin St","Juneau","AK","99801","510 S. Franklin St, Juneau, AK 99801","907-586-7211","https://www.cbp.gov/about/contact/ports/juneau-alaska-3101"
"Boise, Idaho - 2907","Port of Entry","Portland","4655 S. Enterprise Street","Boise","ID","83705","4655 S. Enterprise Street, Boise, ID 83705","208-972-8730","https://www.cbp.gov/about/contact/ports/boise-idaho-2907"
"Newport, Oregon - 2902","Port of Entry","Portland","610 SE Bay Boulevard","Newport","OR","97365","610 SE Bay Boulevard, Newport, OR 97365","541-756-2396","https://www.cbp.gov/about/contact/ports/newport-oregon-2902"
"Astoria, Oregon - 2901","Port of Entry","Portland","#10 Pier 1, Suite 100","Astoria","OR","97103","#10 Pier 1, Suite 100, Astoria, OR 97103","","https://www.cbp.gov/about/contact/ports/astoria-oregon-2901"
"Coos Bay, Oregon - 2903","Port of Entry","Portland","3229 Broadway Street, Suite E","North Bend","OR","97459","3229 Broadway Street, Suite E, North Bend, OR 97459","541-756-2396","https://www.cbp.gov/about/contact/ports/coos-bay-oregon-2903"
"Hillsboro, Oregon - 2983","Port of Entry","Portland","3355 NE Cornell Road, #5","Hillsboro","OR","97124","3355 NE Cornell Road, #5, Hillsboro, OR 97124","","https://www.cbp.gov/about/contact/ports/hillsboro-oregon-2983"
"Rocky Mountain Metropolitan Airport, Colorado - 3383","Port of Entry","Portland","11755 Airport Way","Broomfield","CO","80021","11755 Airport Way, Broomfield, CO 80021","303-271-4884","https://www.cbp.gov/about/contact/ports/rocky-mountain-metropolitan-airport-colorado-3383"
"Denver, Colorado - 3307","Port of Entry","Portland","18300 E. 71st Ave.","Denver","CO","80249","18300 E. 71st Ave., Denver, CO 80249","303-375-4500","https://www.cbp.gov/about/contact/ports/denver-colorado-3307"
"Centennial Airport, Colorado - 3384","Port of Entry","Portland","7601 S. Peoria St., D-16","Englewood","CO","80012","7601 S. Peoria St., D-16, Englewood, CO 80012","303-768-0309","https://www.cbp.gov/about/contact/ports/centennial-airport-colorado-3384"
"Eagle County Regional Airport, Colorado - 3385","Port of Entry","Portland","0871 Cooley Mesa Road","Gypsum","CO","81637","0871 Cooley Mesa Road, Gypsum, CO 81637","970-524-0490","https://www.cbp.gov/about/contact/ports/eagle-county-regional-airport-colorado-3385"
"Longview, Washington - 2905","Port of Entry","Portland","1450 Terminal Way","Longview","WA","98632","1450 Terminal Way, Longview, WA 98632","","https://www.cbp.gov/about/contact/ports/longview-washington-2905"
"Natrona County Airport, Wyoming - 3332","Port of Entry","Portland","8500 Airport Pkwy, Suite 217.","Casper","WY","82604","8500 Airport Pkwy, Suite 217., Casper, WY 82604","","https://www.cbp.gov/about/contact/ports/natrona-county-airport-wyoming-3332"
"San Diego","Field Office","","720 East San Ysidro Blvd","San Diego","CA","92173","720 East San Ysidro Blvd, San Diego, CA 92173","","https://www.cbp.gov/about/contact/ports/field-office/san-diego"
"San Ysidro - Class A, California - 2504","Port of Entry","San Diego","720 East San Ysidro Blvd","San Ysidro","CA","92173","720 East San Ysidro Blvd, San Ysidro, CA 92173","619-428-2188","https://www.cbp.gov/about/contact/ports/san-ysidro-class-california-2504"
"Tecate - Class A, California - 2505","Port of Entry","San Diego","405 Tecate Rd","Tecate","CA","91980","405 Tecate Rd, Tecate, CA 91980","619-938-8330","https://www.cbp.gov/about/contact/ports/tecate-class-california-2505"
"Otay Mesa, California - 2506","Port of Entry","San Diego","9777 Via De La Amistad","San Diego","CA","92154","9777 Via De La Amistad, San Diego, CA 92154","","https://www.cbp.gov/about/contact/ports/otay-mesa-california-2506"
